,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
6,Boom,Maison,Maison exceptionnelle,1250000.0,notariale,0,,0,0,0,,,0,,,,,0,,,381,https://www.zimmo.be/fr/boom-2850/a-vendre/maison/JTYY1/
7,Boom,Maison,,1250000.0,notariale,8,570,0,0,0,,,1,,,59,2,0,,,381,https://www.zimmo.be/fr/boom-2850/a-vendre/maison/JTYG3/
8,Boom,Bien professionnel,Immeuble de bureaux,1250000.0,notariale,1,543,0,0,0,,,0,,,,,0,,,381,https://www.zimmo.be/fr/boom-2850/a-vendre/bien-professionnel/JTYG7/
9,Merksem,Appartement,,280000.0,notariale,4,50,0,0,0,True,9,0,,,,,0,,,,https://www.zimmo.be/fr/merksem-2170/a-vendre/appartement/JTYG6/
0,Brasschaat,Maison,,349000,notariale,5,154,0,0,0,True,25,1,,,,2,0,,,233,https://www.zimmo.be/fr/brasschaat-2930/a-vendre/maison/JXYF4/
1,Borgerhout,Maison,Maison unifamiliale,329900,notariale,6,150,0,0,0,,,1,,,,2,0,,,239,https://www.zimmo.be/fr/borgerhout-2140/a-vendre/maison/JXYF1/
2,Merksem,Maison,,389000,notariale,7,201,0,0,0,,,1,,,,,0,,1983,159,https://www.zimmo.be/fr/merksem-2170/a-vendre/maison/JXYEZ/
3,Deurne,Appartement,,229000,notariale,4,85,0,0,0,True,8,0,,,,2,0,,2016,,https://www.zimmo.be/fr/deurne-2100/a-vendre/appartement/JXYEU/
4,Berlaar,Terrain,,475000,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/berlaar-2590/a-vendre/terrain/JXYE6/
5,Deurne,Appartement,,199000,notariale,4,108,0,0,0,True,8,0,,,,2,0,,1974,152,https://www.zimmo.be/fr/deurne-2100/a-vendre/appartement/JXYDG/
6,Boom,Appartement,,389000,notariale,3,240,0,0,0,,,0,,,,4,0,,,328,https://www.zimmo.be/fr/boom-2850/a-vendre/appartement/JXYDB/
7,Mortsel,Maison,,499000,notariale,6,185,0,0,0,,,0,,,,3,0,,,724,https://www.zimmo.be/fr/mortsel-2640/a-vendre/maison/JXYCK/
8,Wommelgem,Bien professionnel,Immeuble d’appartements,625000,notariale,6,,0,0,0,,,0,,,,2,0,,1988,,https://www.zimmo.be/fr/wommelgem-2160/a-vendre/bien-professionnel/JXYCZ/
9,Mortsel,Appartement,,259000,notariale,2,78,0,0,0,True,17,0,,,,2,0,,2016,,https://www.zimmo.be/fr/mortsel-2640/a-vendre/appartement/JXYBP/
0,Deurne,Bien professionnel,Entrepôt,249000.0,notariale,1,300,0,0,0,,,0,,,305,2,0,old,1958,,https://www.zimmo.be/fr/deurne-2100/a-vendre/bien-professionnel/JWLL6/
1,Borgerhout,Maison,Maison unifamiliale,219900.0,notariale,4,92,0,0,0,,,0,,,37,2,0,,,371,https://www.zimmo.be/fr/borgerhout-2140/a-vendre/maison/JWLL5/
2,Deurne,Appartement,,375000.0,notariale,3,146,0,0,0,,,0,73,282,355,3,0,old,1961,212,https://www.zimmo.be/fr/deurne-2100/a-vendre/appartement/JWLL4/
3,Deurne,Appartement,,159000.0,notariale,3,79,0,0,0,,,0,,,115,2,0,old,1937,751,https://www.zimmo.be/fr/deurne-2100/a-vendre/appartement/JWLL3/
4,Mol,Maison,,168000.0,notariale,0,112,0,0,0,,,1,,,269,,0,old,1963,668,https://www.zimmo.be/fr/mol-2400/a-vendre/maison/JWLJ4/
5,,Bien professionnel,Entrepôt,,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/kapellen-2950/a-vendre/bien-professionnel/JWLHJ/
6,Antwerpen,Appartement,,165000.0,notariale,3,71,0,0,1,,,0,,,,2,0,old,1956,136,https://www.zimmo.be/fr/antwerpen-2020/a-vendre/appartement/JWLHI/
7,Mechelen,Bien professionnel,Entrepôt avec habitation,650000.0,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/mechelen-2800/a-vendre/bien-professionnel/JWLHA/
8,Deurne,Appartement,Immeuble d'appartements,189000.0,notariale,5,53,0,0,0,,,0,,,247,3,0,new,,401,https://www.zimmo.be/fr/deurne-2100/a-vendre/appartement/JWLGP/
9,Deurne,Appartement,,179900.0,notariale,2,50,0,0,0,True,3,0,,,,2,0,old,2020,,https://www.zimmo.be/fr/deurne-2100/a-vendre/appartement/JWLF8/
0,Herenthout,Appartement,,285900.0,notariale,3,98,0,0,0,True,15,0,,,,,0,,,,https://www.zimmo.be/fr/herenthout-2270/a-vendre/appartement/JXD59/
1,Poppel,Maison,Villa,449000.0,notariale,9,,0,0,0,True,40,1,150,405,555,4,0,old,2000,157,https://www.zimmo.be/fr/poppel-2382/a-vendre/maison/JXD4Q/
2,Schoten,Maison,,350000.0,notariale,4,130,0,0,0,,,0,,,194,4,0,new,1925,178,https://www.zimmo.be/fr/schoten-2900/a-vendre/maison/JXD4N/
3,Hoboken,Appartement,,255000.0,notariale,4,90,0,0,0,True,50,0,,,,2,0,new,1979,133,https://www.zimmo.be/fr/hoboken-2660/a-vendre/appartement/JXD3X/
4,,Maison,,,notariale,5,278,0,0,0,True,65,1,,,419,4,0,old,1800,714,https://www.zimmo.be/fr/hingene-2880/a-vendre/maison/JXD3W/
5,Edegem,Maison,Villa,695000.0,notariale,6,250,0,0,0,,,0,,,615,,0,,,277,https://www.zimmo.be/fr/edegem-2650/a-vendre/maison/JXD2N/
6,Merksem,Appartement,,183500.0,notariale,4,,0,0,0,,,0,,,,2,0,old,1985,336,https://www.zimmo.be/fr/merksem-2170/a-vendre/appartement/JXD10/
7,Breendonk,Terrain,Terrain à bâtir,190000.0,notariale,0,,0,0,0,,,0,,,516,3,0,,,,https://www.zimmo.be/fr/breendonk-2870/a-vendre/terrain/JXD0N/
8,Zandhoven,Appartement,,274000.0,notariale,5,104,0,0,0,True,17,0,,,121,2,0,old,2015,,https://www.zimmo.be/fr/zandhoven-2240/a-vendre/appartement/JXD0J/
9,Zandhoven,Appartement,,218000.0,notariale,3,61,0,0,0,True,14,0,,,75,2,0,old,2015,,https://www.zimmo.be/fr/zandhoven-2240/a-vendre/appartement/JXD0K/
0,,Maison,,153500.0,notariale,4,,0,0,0,,,0,,,,2,0,,,987,https://www.zimmo.be/fr/borgerhout-2140/a-vendre/maison/JXJQ0/
1,,Maison,Bel-étage,245500.0,notariale,6,,0,0,0,,,0,,,,3,0,,,418,https://www.zimmo.be/fr/borgerhout-2140/a-vendre/maison/JXJQ1/
