,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
0,,Projet,,171800,notariale,0,,0,0,0,,,0,,,,,0,,2017,,https://www.zimmo.be/fr/vilvoorde-1800/a-vendre/projet-immobilier/10041B2/
1,Tienen,Maison,Maison de ville,180000,notariale,5,171,0,0,0,,,1,,,,2,0,,1874,,https://www.zimmo.be/fr/tienen-3300/a-vendre/maison/JXPLJ/
2,Tienen,Terrain,Terrain à bâtir,180000,notariale,5,171,0,0,0,,,1,,,,2,0,,1874,,https://www.zimmo.be/fr/tienen-3300/a-vendre/terrain/JXPLI/
3,Tienen,Maison,,162000,notariale,4,113,0,0,0,,,0,,,,2,0,,,,https://www.zimmo.be/fr/tienen-3300/a-vendre/maison/JXPL9/
4,Aarschot,Terrain,Terrain à bâtir,219000,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/aarschot-3200/a-vendre/terrain/JXPKC/
5,Haacht,Maison,,379000,notariale,5,232,0,0,0,,,1,,,,4,0,,1850,330,https://www.zimmo.be/fr/haacht-3150/a-vendre/maison/JXPKB/
6,Leuven,Appartement,App. rez-de-chaussée,229000,notariale,2,67,0,0,0,True,35,0,,,,2,0,,1968,310,https://www.zimmo.be/fr/leuven-3000/a-vendre/appartement/JVTZA/
7,Liedekerke,Maison,,199000,notariale,3,110,0,0,0,True,20,0,,,,2,0,,,197,https://www.zimmo.be/fr/liedekerke-1770/a-vendre/maison/JXPL3/
8,Peutie,Maison,,399000,notariale,5,166,0,0,0,True,35,1,,,,3,0,,1969,349,https://www.zimmo.be/fr/peutie-1800/a-vendre/maison/JXPHL/
9,Leuven,Maison,,314900,notariale,3,104,0,0,0,,,0,,,,3,0,,1831,533,https://www.zimmo.be/fr/leuven-3000/a-vendre/maison/JXPJ6/
0,Begijnendijk,Maison,,455000,notariale,8,480,0,0,0,,,1,250,148,398,,0,old,1982,354,https://www.zimmo.be/fr/begijnendijk-3130/a-vendre/maison/JOBBE/
1,Leuven,Terrain,Terrain à bâtir,200000,notariale,0,,0,0,0,,,1,,,800,4,0,,,,https://www.zimmo.be/fr/leuven-3018/a-vendre/terrain/JOBAT/
2,Everberg,Terrain,Bois,12500,notariale,0,,0,0,0,,,0,,,861,,0,,,,https://www.zimmo.be/fr/everberg-3078/a-vendre/terrain/JOBAM/
3,Tienen,Bien professionnel,Rez-de-chaussée commercial,159000,notariale,4,90,0,0,0,True,12,0,,,,,0,old,1980,259,https://www.zimmo.be/fr/tienen-3300/a-vendre/bien-professionnel/JO7XR/
4,Messelbroek,Appartement,,225000,notariale,3,125,0,0,0,True,60,1,,,125,,0,new,,255,https://www.zimmo.be/fr/messelbroek-3272/a-vendre/appartement/JO7A9/
5,Messelbroek,Appartement,,269000,notariale,6,156,0,0,0,True,77,1,,,195,,0,new,,183,https://www.zimmo.be/fr/messelbroek-3272/a-vendre/appartement/JO7A8/
6,Machelen,Appartement,,185000,notariale,2,50,0,1,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/machelen-1830/a-vendre/appartement/JO5JE/
7,Keerbergen,Terrain,Terrain à bâtir,229000,notariale,0,,0,0,0,,,1,,,458,,0,,,,https://www.zimmo.be/fr/keerbergen-3140/a-vendre/terrain/JO58R/
8,Diest,Maison,Maison unifamiliale,320000,notariale,5,386,0,0,0,,,1,,,657,2,0,old,1850,484,https://www.zimmo.be/fr/diest-3290/a-vendre/maison/JO37N/
9,Diest,Bien professionnel,Bien commercial avec habitation,320000,notariale,5,386,0,0,0,,,1,,,657,2,0,old,1850,484,https://www.zimmo.be/fr/diest-3290/a-vendre/bien-professionnel/JO1U8/
0,,Terrain,Zone de projet,,notariale,0,,0,0,0,,,0,,,000,,0,,,,https://www.zimmo.be/fr/testelt-3272/a-vendre/terrain/JP2Z9/
1,Holsbeek,Appartement,Duplex,288000.0,notariale,3,,0,0,0,,,0,,,,3,0,old,2019,,https://www.zimmo.be/fr/holsbeek-3220/a-vendre/appartement/JP22Z/
2,,Appartement,,,notariale,0,,0,0,0,,,0,,,,2,0,,,,https://www.zimmo.be/fr/machelen-1830/a-vendre/appartement/JP0P3/
3,,Maison,,,notariale,0,,0,0,0,,,0,,,,4,0,,,,https://www.zimmo.be/fr/machelen-1830/a-vendre/maison/JP0P2/
4,Gooik,Terrain,Terrain à bâtir,200000.0,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/gooik-1755/a-vendre/terrain/JOZV2/
5,Galmaarden,Appartement,Triplex,129000.0,notariale,6,164,0,0,0,,,0,,,,3,0,,,974,https://www.zimmo.be/fr/galmaarden-1570/a-vendre/appartement/JOV79/
6,Beersel,Terrain,Terrain à bâtir,215000.0,notariale,0,,0,0,0,,,0,,,755,,0,,,,https://www.zimmo.be/fr/beersel-1650/a-vendre/terrain/JOVW3/
7,Londerzeel,Maison,,327500.0,notariale,6,,0,0,0,,,0,,,307,3,0,,,,https://www.zimmo.be/fr/londerzeel-1840/a-vendre/maison/HOB42/
